2025-06-24 11:33:42,706 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:33:42', 'cam': 'cam2_thermal', 'label': 'person', 'clip': '/clips/cam2_thermal/20250624_113333_013572.mp4'}
2025-06-24 11:33:51,608 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:33:51', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_113349_023774.mp4'}
2025-06-24 11:33:55,963 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:33:55', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_113345_647007.mp4'}
2025-06-24 11:34:16,814 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:34:16', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_113414_090971.mp4'}
2025-06-24 11:34:23,906 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:34:23', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_113420_965184.mp4'}
2025-06-24 11:34:27,550 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:34:27', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_113416_633682.mp4'}
2025-06-24 11:34:40,452 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:34:40', 'cam': 'cam1_thermal', 'label': 'person', 'clip': '/clips/cam1_thermal/20250624_113426_321003.mp4'}
2025-06-24 11:34:58,747 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:34:58', 'cam': 'cam1_rgb', 'label': 'person', 'clip': '/clips/cam1_rgb/20250624_113443_793077.mp4'}
2025-06-24 11:35:00,435 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:35:00', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_113456_071585.mp4'}
2025-06-24 11:35:20,052 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:35:20', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_113513_193055.mp4'}
2025-06-24 11:38:18,210 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:38:18', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_113816_685053.mp4'}
2025-06-24 11:38:19,979 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:38:19', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_113818_166581.mp4'}
2025-06-24 11:38:20,632 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:38:20', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_113818_673273.mp4'}
2025-06-24 15:19:40,961 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:19:40', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_151939_459252.mp4'}
2025-06-24 15:19:42,730 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:19:42', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_151940_945816.mp4'}
2025-06-24 15:19:43,785 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:19:43', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_151941_734954.mp4'}
2025-06-24 15:20:04,263 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:20:04', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_152002_671766.mp4'}
2025-06-24 15:20:07,533 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:20:07', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152005_823207.mp4'}
2025-06-24 15:20:33,762 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:20:33', 'cam': 'cam2_thermal', 'label': 'person', 'clip': '/clips/cam2_thermal/20250624_152022_721726.mp4'}
2025-06-24 15:20:34,343 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:20:34', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152031_963890.mp4'}
2025-06-24 15:20:34,738 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:20:34', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_152026_851054.mp4'}
2025-06-24 15:20:39,379 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:20:39', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_152026_545017.mp4'}
